ID,NOME_OBRA,AUTOR,TIPOLOGIA,MATERIAL,DT_IMPLANT,CONPRESP,CONDEPHAAT,TOMBAMENTO,LOCAL,IPHAN,LINK_RES,problematica
087,Contando a Féria,"CIPICCHIA, Ricardo",Grupo escultórico,bronze e granito,1950,RES. 17/2007,não consta,sim,Praça Doutor Joăo Mendes,não consta,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,N
088,Cora Coralina,"AGOSTINHO, Aucione Torres",Herma,bronze concreto e granito,1989,não consta,não consta,não,Praça Cora Coralina,não consta,não consta,N
089,Cristo Redentor,desconhecido,Estátua,argamassa armada,19--,não consta,não consta,não,Praça Salvador Allende,não consta,não consta,N
090,Cristóforo Colombo,"MORRONE, Luiz",Estátua,bronze e granito,1992,não consta,não consta,não,Praça Panamericana,não consta,não consta,S
091,Crucifixo,desconhecido,Crucifixo,bronze e granito,1978,não consta,não consta,não,Largo Săo José do Belém,não consta,não consta,N
092,Crucifixo,desconhecido,Crucifixo,bronze e granito,1978,não consta,não consta,não,Praça Cornélia,não consta,não consta,N
093,Crucifixo,desconhecido,Crucifixo,bronze e granito,1978,não consta,não consta,não,Praça Pérola Byington,não consta,não consta,N
094,Crucifixo,desconhecido,Crucifixo,bronze e granito,1978,não consta,não consta,não,Praça Doutor Afrodísio Vidigal,não consta,não consta,N
095,Cruz de Anchieta,"LARROCA, Vicente; RODRIGUES, José Wasth",Cruzeiro,granitobronze e azulejos,1938,não consta,não consta,não,Praça Santa Cruz,não consta,não consta,S
096,Cruz Papal,desconhecido,Cruzeiro,fulget e pastilhas,19--,não consta,não consta,não,Praça Nossa Senhora do Brasil,não consta,não consta,N
097,Cruzeiro,desconhecido,Cruzeiro,alvenaria de tijolos aparentes,1947,não consta,não consta,não,Praça Itálico Ancona Lopes,não consta,não consta,N
098,Dança branca,"IANELLI, Arcângelo",Escultura Abstrata,mármore e granito,2001,não consta,não consta,não,Parque da Aclimaçăo,não consta,não consta,N
099,Dante,"GIORGI, Bruno",Estátua,mármore,1955,não consta,não consta,não,Praça Dom José Gaspar,não consta,não consta,N
100,David,desconhecido,Estátua,argamassa armada e bronze,1974,não consta,não consta,não,Rua Canuto Abreu (em frente ao CERET),não consta,não consta,N
101,Depois do Banho,"BRECHERET, Victor",Estátua,bronze e granito,ca. 1941,não consta,não consta,não,Largo do Arouche,não consta,não consta,N
